province,ssp,year,temp_grad_z,log_effort_visits_z,decades_ahead,hazard_glmm
Anhui,SSP245,2030,2.36628585244551,1.89643771446388,0.6,0.0788385289358157
Anhui,SSP245,2050,3.76121015648891,1.89643771446388,2.6,0.125149898808677
Anhui,SSP245,2080,5.853596612554,1.89643771446388,5.6,0.24252527925878
Anhui,SSP585,2030,3.06374800446721,1.89643771446388,0.6,0.0994808670987135
Anhui,SSP585,2050,6.78354614858293,1.89643771446388,2.6,0.319154276794268
Anhui,SSP585,2080,12.3632433647565,1.89643771446388,5.6,0.932881459499174
Beijing,SSP245,2030,0.225854292546631,2.93315801551981,0.6,0.041151160036082
Beijing,SSP245,2050,1.62077859659003,2.93315801551981,2.6,0.0939532801712108
Beijing,SSP245,2080,3.71316505265512,2.93315801551981,5.6,0.298803826454867
Beijing,SSP585,2030,0.923316444568329,2.93315801551981,0.6,0.0623606618260548
Beijing,SSP585,2050,4.64311458868405,2.93315801551981,2.6,0.465842567821887
Beijing,SSP585,2080,10.2228118048576,2.93315801551981,5.6,0.999999994707543
Chongqing,SSP245,2030,-1.07918501550731,1.7879815737983,0.6,0.0250092390711488
Chongqing,SSP245,2050,0.315739288536086,1.7879815737983,2.6,0.0389096903099556
Chongqing,SSP245,2080,2.40812574460118,1.7879815737983,5.6,0.0748929027934107
Chongqing,SSP585,2030,-0.381722863485613,1.7879815737983,0.6,0.0312069689555824
Chongqing,SSP585,2050,3.33807528063011,1.7879815737983,2.6,0.0996939248273392
Chongqing,SSP585,2080,8.9177724968037,1.7879815737983,5.6,0.469084495608333
Fujian,SSP245,2030,1.88508699878639,2.34914602257818,0.6,0.0831890598738958
Fujian,SSP245,2050,3.28001130282979,2.34914602257818,2.6,0.152889596463898
Fujian,SSP245,2080,5.37239775889488,2.34914602257818,5.6,0.354749579700309
Fujian,SSP585,2030,2.58254915080809,2.34914602257818,0.6,0.113120886671712
Fujian,SSP585,2050,6.30234729492381,2.34914602257818,2.6,0.490605784903702
Fujian,SSP585,2080,11.8820445110974,2.34914602257818,5.6,0.99987463508115
Gansu,SSP245,2030,1.9110187523744,1.60452456914352,0.6,0.0587044551857606
Gansu,SSP245,2050,3.3059430564178,1.60452456914352,2.6,0.0850186052153101
Gansu,SSP245,2080,5.39832951248289,1.60452456914352,5.6,0.146272238015489
