cell,lon,lat,ssp,year,hazard
54,120.98934621946,53.1655657942916,Current,2024,0.0163469351118316
55,121.766597775951,53.2204133988419,Current,2024,0.0167718886122683
56,122.625962550526,53.2615170240288,Current,2024,0.0154968166471738
57,123.503872211582,53.2867806513094,Current,2024,0.023395197164921
58,124.234533147575,53.1929084230386,Current,2024,0.0219263947194038
59,125.067534970276,53.1220547884351,Current,2024,0.0249380640924737
125,120.201065679812,52.686172327543,Current,2024,0.0167018607303328
126,120.844576434726,52.8132208818435,Current,2024,0.0163926014200169
127,121.721720998195,52.820390340621,Current,2024,0.015279432802463
128,122.620036282315,52.820390340621,Current,2024,0.0289382962937533
129,123.518351566434,52.820390340621,Current,2024,0.0237139240414287
130,124.416446647668,52.8202403435421,Current,2024,0.0269990287274712
131,125.28164631535,52.8005737429746,Current,2024,0.0260565404950832
132,125.869886774161,52.6803504259881,Current,2024,0.0376434614583601
197,120.067097887072,52.5451834148273,Current,2024,0.0167018607303328
198,120.968340417924,52.2812213666407,Current,2024,0.0159667365140517
199,121.721720998195,52.274134035273,Current,2024,0.0206491135552306
200,122.620036282315,52.274134035273,Current,2024,0.0220180819796065
201,123.518351566434,52.274134035273,Current,2024,0.0346984578760252
202,124.416666850554,52.274134035273,Current,2024,0.0304337748022278
203,125.314982134673,52.274134035273,Current,2024,0.0199747241303101
204,126.039464540426,52.2416405198819,Current,2024,0.0264427000030992
269,120.217755654577,51.5814892348358,Current,2024,0.0192963212581115
270,120.848137852535,51.704730306573,Current,2024,0.0232487424668226
271,121.721720998195,51.7210618695902,Current,2024,0.0199307001174299
272,122.620036282315,51.7210618695902,Current,2024,0.0235147305174465
273,123.518351566434,51.7210618695902,Current,2024,0.0379144769166278
274,124.416666850554,51.7210618695902,Current,2024,0.032012542366341
275,125.314982134673,51.7210618695902,Current,2024,0.0301902848552168
276,126.170400509542,51.7017618694339,Current,2024,0.0294444044378925
277,126.709879883934,51.4945263196956,Current,2024,0.0318739745373015
341,120.052672960567,51.1281229030947,Current,2024,0.0229877593493409
342,120.823405714076,51.1611409828537,Current,2024,0.0252054284081075
343,121.721720998195,51.1611409828537,Current,2024,0.0266633338631683
344,122.620036282315,51.1611409828537,Current,2024,0.0231014576797362
345,123.518351566434,51.1611409828537,Current,2024,0.0267532019432598
346,124.416666850554,51.1611409828537,Current,2024,0.0288330134945235
347,125.314982134673,51.1611409828537,Current,2024,0.0347872334564724
348,126.213297418793,51.1611409828537,Current,2024,0.0329409278207313
349,126.794002975364,51.1063729353377,Current,2024,0.0318739745373015
412,119.343388779203,50.476249202058,Current,2024,0.0238477426175708
413,119.925453215316,50.5941192066292,Current,2024,0.0255887864813326
414,120.823405714076,50.5943407078584,Current,2024,0.0269985535495116
415,121.721720998195,50.5943407078585,Current,2024,0.0288407640874
416,122.620036282315,50.5943407078584,Current,2024,0.034644725639887
417,123.518351566434,50.5943407078585,Current,2024,0.0267392225789985
418,124.416666850554,50.5943407078585,Current,2024,0.029500889930673
419,125.314982134673,50.5943407078585,Current,2024,0.0341466414717214
420,126.213297418793,50.5943407078585,Current,2024,0.035513201981908
421,126.964999554068,50.5798376124154,Current,2024,0.0366895142753266
481,116.711274531013,49.77390874873,Current,2024,0.0193232169444074
482,116.834034981637,49.7553445255093,Current,2024,0.0193232169444074
483,118.469695477319,49.7918715903298,Current,2024,0.0212477384526216
484,119.132454390713,49.9209814543472,Current,2024,0.0274100714322588
485,119.925090429956,50.0206326773674,Current,2024,0.0284398230812708
486,120.823405714076,50.0206326773673,Current,2024,0.0243048920790653
487,121.721720998195,50.0206326773674,Current,2024,0.0277956772478073
488,122.620036282315,50.0206326773673,Current,2024,0.0257616289910529
489,123.518351566434,50.0206326773674,Current,2024,0.0319977146307187
490,124.416666850554,50.0206326773673,Current,2024,0.0302405052851391
491,125.314982134673,50.0206326773674,Current,2024,0.0351811816851112
492,126.213297418793,50.0206326773673,Current,2024,0.0347560360305552
493,127.071793365452,50.0151123819584,Current,2024,0.0359672930096856
494,127.570463755481,49.7388191656239,Current,2024,0.0348233374745567
521,87.7091892693464,49.1515402210725,Current,2024,0.0169647799249183
553,116.572765545186,49.3853507424718,Current,2024,0.0195233943458211
554,117.198954478699,49.4001066010845,Current,2024,0.0258480905981512
555,118.165290837583,49.4066779423352,Current,2024,0.0263654526153005
556,119.026775145837,49.4399909322379,Current,2024,0.0271187835786388
557,119.925090429956,49.4399909322379,Current,2024,0.0315817204511421
558,120.823405714076,49.4399909322379,Current,2024,0.028782939796573
559,121.721720998195,49.4399909322379,Current,2024,0.0355206130523531
560,122.620036282315,49.4399909322379,Current,2024,0.0272549639240022
561,123.518351566434,49.4399909322379,Current,2024,0.0320874271679127
562,124.416666850554,49.4399909322379,Current,2024,0.0346218293891946
563,125.314982134673,49.4399909322379,Current,2024,0.0326950094743919
564,126.213297418793,49.4399909322379,Current,2024,0.0341560788529436
565,127.111612702912,49.4399909322379,Current,2024,0.0317331477445822
566,127.98718532064,49.3623581966388,Current,2024,0.034583573894632
567,128.831379265101,49.3034455231243,Current,2024,0.0299404195484808
568,129.488923343649,49.2420104228533,Current,2024,0.0300651003086224
592,86.9202945882899,48.8163648995094,Current,2024,0.0313921577500157
593,87.5175865543879,48.8189026350264,Current,2024,0.0268026644442865
624,115.85369488121,48.5865829278789,Current,2024,0.0192212142162922
625,116.39445686148,48.831778041997,Current,2024,0.0203606665298801
626,117.230144577598,48.8523920310858,Current,2024,0.0270358438126075
627,118.128459861717,48.8523920310858,Current,2024,0.0280194266691726
628,119.026775145837,48.8523920310858,Current,2024,0.0264265297407209
629,119.925090429956,48.8523920310858,Current,2024,0.029095695161348
630,120.823405714076,48.8523920310858,Current,2024,0.0288002677351702
631,121.721720998195,48.8523920310858,Current,2024,0.0244243089083167
632,122.620036282315,48.8523920310858,Current,2024,0.0274543112092344
633,123.518351566434,48.8523920310858,Current,2024,0.044555396402703
634,124.416666850554,48.8523920310858,Current,2024,0.0343752348499576
635,125.314982134673,48.8523920310858,Current,2024,0.0335299911236513
636,126.213297418793,48.8523920310858,Current,2024,0.0332324537872309
637,127.111612702912,48.8523920310858,Current,2024,0.0356507991596553
638,128.009927987032,48.8523920310858,Current,2024,0.0305012787381416
639,128.908243271151,48.8523920310858,Current,2024,0.0302824185975593
640,129.75001917565,48.8148712474288,Current,2024,0.0306704374394502
641,130.410048953189,48.71833618111,Current,2024,0.0311672495906127
663,85.9139404436413,48.1661656374963,Current,2024,0.0255401380729419
664,86.7048538340238,48.24460805052,Current,2024,0.0355800797835387
665,87.5854669535804,48.2576294146869,Current,2024,0.0297101980926022
666,88.3705260671709,48.1766476271419,Current,2024,0.0251436925148307
667,89.2463380726373,47.9857316877949,Current,2024,0.0179177164447056
696,115.740599914767,48.1790012201688,Current,2024,0.026516514162699
697,116.331829293478,48.2578151613334,Current,2024,0.0195288337701062
698,117.230144577598,48.2578151613334,Current,2024,0.02374623206667
699,118.13011213289,48.2733226343002,Current,2024,0.0249259524287557
700,119.026775145837,48.2578151613334,Current,2024,0.0237888528044281
701,119.925090429956,48.2578151613334,Current,2024,0.0242733457918911
