unit_id,province,ssp,year,log_effort_visits_z,temp_grad_z,hazard_glmm,hazard_xgb
CNTY_00001,Beijing,SSP245,2030,3.00563963775973,0.225854292546631,0.0413713341267513,0.0259001459926367
CNTY_00001,Beijing,SSP245,2050,3.00563963775973,1.62077859659003,0.0967677327180029,0.0226177386939526
CNTY_00001,Beijing,SSP245,2080,3.00563963775973,3.71316505265512,0.316474965959702,0.0236236546188593
CNTY_00001,Beijing,SSP585,2030,3.00563963775973,0.923316444568329,0.0634718204896727,0.03155367821455
CNTY_00001,Beijing,SSP585,2050,3.00563963775973,4.64311458868405,0.495265323459079,0.0236236546188593
CNTY_00001,Beijing,SSP585,2080,3.00563963775973,10.2228118048576,0.999999999899307,0.0236236546188593
CNTY_00002,Beijing,SSP245,2030,2.30576720398161,0.225854292546631,0.0392926749415785,0.0191945098340511
CNTY_00002,Beijing,SSP245,2050,2.30576720398161,1.62077859659003,0.072640897445304,0.0222865380346775
CNTY_00002,Beijing,SSP245,2080,2.30576720398161,3.71316505265512,0.17684075791851,0.0232780762016773
CNTY_00002,Beijing,SSP585,2030,2.30576720398161,0.923316444568329,0.053497828438743,0.03109578974545
CNTY_00002,Beijing,SSP585,2050,2.30576720398161,4.64311458868405,0.256639642357465,0.0232780762016773
CNTY_00002,Beijing,SSP585,2080,2.30576720398161,10.2228118048576,0.975653761457636,0.0232780762016773
CNTY_00003,Beijing,SSP245,2030,3.80113255983105,0.225854292546631,0.0438647564334828,0.0259001459926367
CNTY_00003,Beijing,SSP245,2050,3.80113255983105,1.62077859659003,0.133326905381578,0.0236172936856747
CNTY_00003,Beijing,SSP245,2080,3.80113255983105,3.71316505265512,0.557495349519944,0.0246665421873331
CNTY_00003,Beijing,SSP585,2030,3.80113255983105,0.923316444568329,0.0769907985956608,0.0329348333179951
CNTY_00003,Beijing,SSP585,2050,3.80113255983105,4.64311458868405,0.829120401300591,0.0246665421873331
CNTY_00003,Beijing,SSP585,2080,3.80113255983105,10.2228118048576,1,0.0246665421873331
CNTY_00004,Beijing,SSP245,2030,3.03282611283528,0.225854292546631,0.0414542140775938,0.0259001459926367
CNTY_00004,Beijing,SSP245,2050,3.03282611283528,1.62077859659003,0.0978437999588374,0.0226177386939526
CNTY_00004,Beijing,SSP245,2080,3.03282611283528,3.71316505265512,0.323303318135242,0.0236236546188593
CNTY_00004,Beijing,SSP585,2030,3.03282611283528,0.923316444568329,0.063893506610628,0.03155367821455
CNTY_00004,Beijing,SSP585,2050,3.03282611283528,4.64311458868405,0.506518446972797,0.0236236546188593
CNTY_00004,Beijing,SSP585,2080,3.03282611283528,10.2228118048576,0.99999999998142,0.0236236546188593
CNTY_00005,Beijing,SSP245,2030,1.67300674599409,0.225854292546631,0.0375016150217203,0.0205753371119499
CNTY_00005,Beijing,SSP245,2050,1.67300674599409,1.62077859659003,0.055888289718833,0.0212074872106314
CNTY_00005,Beijing,SSP245,2080,1.67300674599409,3.71316505265512,0.100703200612792,0.0221521034836769
CNTY_00005,Beijing,SSP585,2030,1.67300674599409,0.923316444568329,0.0458031318626991,0.0300925429910421
CNTY_00005,Beijing,SSP585,2050,1.67300674599409,4.64311458868405,0.130094575722581,0.0221521034836769
CNTY_00005,Beijing,SSP585,2080,1.67300674599409,10.2228118048576,0.510460566092887,0.0221521034836769
CNTY_00006,Beijing,SSP245,2030,4.02852608848902,0.225854292546631,0.0446040998990704,0.0259001459926367
CNTY_00006,Beijing,SSP245,2050,4.02852608848902,1.62077859659003,0.145921119335181,0.0236172936856747
CNTY_00006,Beijing,SSP245,2080,4.02852608848902,3.71316505265512,0.637143120757179,0.0246665421873331
CNTY_00006,Beijing,SSP585,2030,4.02852608848902,0.923316444568329,0.0813374350588422,0.0329348333179951
CNTY_00006,Beijing,SSP585,2050,4.02852608848902,4.64311458868405,0.901493831028916,0.0246665421873331
CNTY_00006,Beijing,SSP585,2080,4.02852608848902,10.2228118048576,1,0.0246665421873331
CNTY_00007,Beijing,SSP245,2030,2.43118238300166,0.225854292546631,0.0396574910806212,0.0191945098340511
CNTY_00007,Beijing,SSP245,2050,2.43118238300166,1.62077859659003,0.0764924633284627,0.0222865380346775
CNTY_00007,Beijing,SSP245,2080,2.43118238300166,3.71316505265512,0.197039787904709,0.0232780762016773
CNTY_00007,Beijing,SSP585,2030,2.43118238300166,0.923316444568329,0.0551657179509701,0.03109578974545
CNTY_00007,Beijing,SSP585,2050,2.43118238300166,4.64311458868405,0.291395919577499,0.0232780762016773
CNTY_00007,Beijing,SSP585,2080,2.43118238300166,10.2228118048576,0.994209853883335,0.0232780762016773
CNTY_00008,Beijing,SSP245,2030,1.95029064720959,0.225854292546631,0.038276411519616,0.0183743517845869
CNTY_00008,Beijing,SSP245,2050,1.95029064720959,1.62077859659003,0.0627107338648603,0.0206021666526794
CNTY_00008,Beijing,SSP245,2080,1.95029064720959,3.71316505265512,0.129282716204703,0.0215204134583473
CNTY_00008,Beijing,SSP585,2030,1.95029064720959,0.923316444568329,0.0490323216759483,0.0287652164697647
CNTY_00008,Beijing,SSP585,2050,1.95029064720959,4.64311458868405,0.17637417162009,0.0215204134583473
CNTY_00008,Beijing,SSP585,2080,1.95029064720959,10.2228118048576,0.770365645152308,0.0215204134583473
