unit,lon,lat,ssp,year,hazard,panel,hz
54,120.98934621946,53.1655657942916,Current,2024,0.00087993689447774,Current (2024),0.00087993689447774
55,121.766597775951,53.2204133988419,Current,2024,0.000905024281936062,Current (2024),0.000905024281936062
56,122.625962550526,53.2615170240288,Current,2024,0.000939914826470822,Current (2024),0.000939914826470822
57,123.503872211582,53.2867806513094,Current,2024,0.00163153246088887,Current (2024),0.00163153246088887
58,124.234533147575,53.1929084230386,Current,2024,0.00121425688111021,Current (2024),0.00121425688111021
59,125.067534970276,53.1220547884351,Current,2024,0.00139874828659692,Current (2024),0.00139874828659692
125,120.201065679812,52.686172327543,Current,2024,0.000900885574825816,Current (2024),0.000900885574825816
126,120.844576434726,52.8132208818435,Current,2024,0.000882629634275101,Current (2024),0.000882629634275101
127,121.721720998195,52.820390340621,Current,2024,0.000817215488870149,Current (2024),0.000817215488870149
128,122.620036282315,52.820390340621,Current,2024,0.00252314997873093,Current (2024),0.00252314997873093
129,123.518351566434,52.820390340621,Current,2024,0.00150525296750137,Current (2024),0.00150525296750137
130,124.416446647668,52.8202403435421,Current,2024,0.00163795823048407,Current (2024),0.00163795823048407
131,125.28164631535,52.8005737429746,Current,2024,0.00146791560910986,Current (2024),0.00146791560910986
132,125.869886774161,52.6803504259881,Current,2024,0.00220283903864593,Current (2024),0.00220283903864593
197,120.067097887072,52.5451834148273,Current,2024,0.000900885574825816,Current (2024),0.000900885574825816
198,120.968340417924,52.2812213666407,Current,2024,0.000917679450344044,Current (2024),0.000917679450344044
199,121.721720998195,52.274134035273,Current,2024,0.0016267281473562,Current (2024),0.0016267281473562
200,122.620036282315,52.274134035273,Current,2024,0.00121983436487805,Current (2024),0.00121983436487805
201,123.518351566434,52.274134035273,Current,2024,0.00201307067207956,Current (2024),0.00201307067207956
202,124.416666850554,52.274134035273,Current,2024,0.00174176108705248,Current (2024),0.00174176108705248
203,125.314982134673,52.274134035273,Current,2024,0.00124456968427333,Current (2024),0.00124456968427333
204,126.039464540426,52.2416405198819,Current,2024,0.00149187458573252,Current (2024),0.00149187458573252
269,120.217755654577,51.5814892348358,Current,2024,0.00105537576104398,Current (2024),0.00105537576104398
270,120.848137852535,51.704730306573,Current,2024,0.00205683393614575,Current (2024),0.00205683393614575
271,121.721720998195,51.7210618695902,Current,2024,0.00156268417903227,Current (2024),0.00156268417903227
272,122.620036282315,51.7210618695902,Current,2024,0.00149123448667432,Current (2024),0.00149123448667432
273,123.518351566434,51.7210618695902,Current,2024,0.00222039765390425,Current (2024),0.00222039765390425
274,124.416666850554,51.7210618695902,Current,2024,0.00210107169988494,Current (2024),0.00210107169988494
275,125.314982134673,51.7210618695902,Current,2024,0.00172640123154477,Current (2024),0.00172640123154477
276,126.170400509542,51.7017618694339,Current,2024,0.00180292261591108,Current (2024),0.00180292261591108
277,126.709879883934,51.4945263196956,Current,2024,0.00183290517007273,Current (2024),0.00183290517007273
341,120.052672960567,51.1281229030947,Current,2024,0.00193818056582973,Current (2024),0.00193818056582973
342,120.823405714076,51.1611409828537,Current,2024,0.00191456667145551,Current (2024),0.00191456667145551
343,121.721720998195,51.1611409828537,Current,2024,0.00265624287745625,Current (2024),0.00265624287745625
344,122.620036282315,51.1611409828537,Current,2024,0.0013787384675259,Current (2024),0.0013787384675259
345,123.518351566434,51.1611409828537,Current,2024,0.00162147112059452,Current (2024),0.00162147112059452
346,124.416666850554,51.1611409828537,Current,2024,0.00164104993545899,Current (2024),0.00164104993545899
347,125.314982134673,51.1611409828537,Current,2024,0.0026538984061234,Current (2024),0.0026538984061234
348,126.213297418793,51.1611409828537,Current,2024,0.00190074592730127,Current (2024),0.00190074592730127
349,126.794002975364,51.1063729353377,Current,2024,0.00183290517007273,Current (2024),0.00183290517007273
412,119.343388779203,50.476249202058,Current,2024,0.00159381652098778,Current (2024),0.00159381652098778
