province,ssp,year,temp_grad_z,log_effort_visits_z,hazard_xgb
Anhui,SSP245,2030,2.36628585244551,1.89643771446388,0.0345037579536438
Anhui,SSP245,2050,3.76121015648891,1.89643771446388,0.0345037579536438
Anhui,SSP245,2080,5.853596612554,1.89643771446388,0.0345037579536438
Anhui,SSP585,2030,3.06374800446721,1.89643771446388,0.0345037579536438
Anhui,SSP585,2050,6.78354614858293,1.89643771446388,0.0345037579536438
Anhui,SSP585,2080,12.3632433647565,1.89643771446388,0.0345037579536438
Beijing,SSP245,2030,0.225854292546631,2.93315801551981,0.0526632554829121
Beijing,SSP245,2050,1.62077859659003,2.93315801551981,0.034127376973629
Beijing,SSP245,2080,3.71316505265512,2.93315801551981,0.0345037579536438
Beijing,SSP585,2030,0.923316444568329,2.93315801551981,0.0525255538523197
Beijing,SSP585,2050,4.64311458868405,2.93315801551981,0.0345037579536438
Beijing,SSP585,2080,10.2228118048576,2.93315801551981,0.0345037579536438
Chongqing,SSP245,2030,-1.07918501550731,1.7879815737983,0.0588292703032494
Chongqing,SSP245,2050,0.315739288536086,1.7879815737983,0.0510962270200253
Chongqing,SSP245,2080,2.40812574460118,1.7879815737983,0.0345037579536438
Chongqing,SSP585,2030,-0.381722863485613,1.7879815737983,0.0447956323623657
Chongqing,SSP585,2050,3.33807528063011,1.7879815737983,0.0345037579536438
Chongqing,SSP585,2080,8.9177724968037,1.7879815737983,0.0345037579536438
Fujian,SSP245,2030,1.88508699878639,2.34914602257818,0.034127376973629
Fujian,SSP245,2050,3.28001130282979,2.34914602257818,0.0345037579536438
Fujian,SSP245,2080,5.37239775889488,2.34914602257818,0.0345037579536438
Fujian,SSP585,2030,2.58254915080809,2.34914602257818,0.0345037579536438
Fujian,SSP585,2050,6.30234729492381,2.34914602257818,0.0345037579536438
Fujian,SSP585,2080,11.8820445110974,2.34914602257818,0.0345037579536438
Gansu,SSP245,2030,1.9110187523744,1.60452456914352,0.0343179404735565
Gansu,SSP245,2050,3.3059430564178,1.60452456914352,0.0346963480114937
Gansu,SSP245,2080,5.39832951248289,1.60452456914352,0.0346963480114937
Gansu,SSP585,2030,2.6084809043961,1.60452456914352,0.0346963480114937
Gansu,SSP585,2050,6.32827904851182,1.60452456914352,0.0346963480114937
Gansu,SSP585,2080,11.9079762646854,1.60452456914352,0.0346963480114937
Guangdong,SSP245,2030,1.25761536481077,1.12413113381892,0.0438597612082958
Guangdong,SSP245,2050,2.65253966885417,1.12413113381892,0.0349533706903458
Guangdong,SSP245,2080,4.74492612491926,1.12413113381892,0.0349533706903458
Guangdong,SSP585,2030,1.95507751683247,1.12413113381892,0.0345722623169422
Guangdong,SSP585,2050,5.67487566094819,1.12413113381892,0.0349533706903458
Guangdong,SSP585,2080,11.2545728771218,1.12413113381892,0.0349533706903458
Guangxi,SSP245,2030,1.46801616353924,2.01862337134083,0.0412228293716908
Guangxi,SSP245,2050,2.86294046758264,2.01862337134083,0.0345037579536438
Guangxi,SSP245,2080,4.95532692364773,2.01862337134083,0.0345037579536438
Guangxi,SSP585,2030,2.16547831556094,2.01862337134083,0.0345037579536438
Guangxi,SSP585,2050,5.88527645967666,2.01862337134083,0.0345037579536438
Guangxi,SSP585,2080,11.4649736758503,2.01862337134083,0.0345037579536438
Guizhou,SSP245,2030,1.62604014271196,1.47857077429316,0.0345722623169422
Guizhou,SSP245,2050,3.02096444675536,1.47857077429316,0.0349533706903458
Guizhou,SSP245,2080,5.11335090282045,1.47857077429316,0.0349533706903458
Guizhou,SSP585,2030,2.32350229473366,1.47857077429316,0.0349533706903458
Guizhou,SSP585,2050,6.04330043884938,1.47857077429316,0.0349533706903458
Guizhou,SSP585,2080,11.622997655023,1.47857077429316,0.0349533706903458
Hainan,SSP245,2030,0.958403505617499,1.81240564991207,0.0525255538523197
Hainan,SSP245,2050,2.3533278096609,1.81240564991207,0.0345037579536438
Hainan,SSP245,2080,4.44571426572599,1.81240564991207,0.0345037579536438
Hainan,SSP585,2030,1.6558656576392,1.81240564991207,0.034127376973629
Hainan,SSP585,2050,5.37566380175492,1.81240564991207,0.0345037579536438
Hainan,SSP585,2080,10.9553610179285,1.81240564991207,0.0345037579536438
Hebei,SSP245,2030,2.77226786911189,1.81390390338958,0.0345037579536438
Hebei,SSP245,2050,4.16719217315529,1.81390390338958,0.0345037579536438
Hebei,SSP245,2080,6.25957862922038,1.81390390338958,0.0345037579536438
Hebei,SSP585,2030,3.46973002113359,1.81390390338958,0.0345037579536438
Hebei,SSP585,2050,7.18952816524931,1.81390390338958,0.0345037579536438
Hebei,SSP585,2080,12.7692253814229,1.81390390338958,0.0345037579536438
Heilongjiang,SSP245,2030,2.14048374229962,1.39019899155061,0.0349533706903458
Heilongjiang,SSP245,2050,3.53540804634302,1.39019899155061,0.0349533706903458
Heilongjiang,SSP245,2080,5.62779450240811,1.39019899155061,0.0349533706903458
Heilongjiang,SSP585,2030,2.83794589432132,1.39019899155061,0.0349533706903458
Heilongjiang,SSP585,2050,6.55774403843704,1.39019899155061,0.0349533706903458
Heilongjiang,SSP585,2080,12.1374412546106,1.39019899155061,0.0349533706903458
Henan,SSP245,2030,2.6743813674336,2.13212435162468,0.0345037579536438
Henan,SSP245,2050,4.069305671477,2.13212435162468,0.0345037579536438
Henan,SSP245,2080,6.16169212754209,2.13212435162468,0.0345037579536438
Henan,SSP585,2030,3.3718435194553,2.13212435162468,0.0345037579536438
Henan,SSP585,2050,7.09164166357102,2.13212435162468,0.0345037579536438
Henan,SSP585,2080,12.6713388797446,2.13212435162468,0.0345037579536438
Hubei,SSP245,2030,2.30017309514399,2.43307171202928,0.0345037579536438
Hubei,SSP245,2050,3.69509739918739,2.43307171202928,0.0345037579536438
Hubei,SSP245,2080,5.78748385525248,2.43307171202928,0.0345037579536438
Hubei,SSP585,2030,2.99763524716569,2.43307171202928,0.0345037579536438
