cell50,lon,lat,ssp,year,hazard
10_40,82.3642461335819,31.3886117459395,Current,2024,0.053897231072524
10_52,80.7568845881554,36.2315737622726,Current,2024,0.0392526969505881
10_53,80.604855959662,36.6317647535832,Current,2024,0.0337164953382926
10_54,80.449799324596,37.0313748899403,Current,2024,0.0330893328764385
10_55,80.2916563804106,37.4303901630311,Current,2024,0.0352874908841306
10_61,79.274512041266,39.811155869372,Current,2024,0.0260324700421476
10_64,78.7190297316335,40.9922492508503,Current,2024,0.0258463731728509
11_52,81.2526772148007,36.3526786621552,Current,2024,0.0713568456383373
11_53,81.1025420922647,36.7546447777008,Current,2024,0.0618651346811745
11_54,80.9494025060213,37.1560458249734,Current,2024,0.0627589266903339
11_62,79.6087500128501,40.3451882367264,Current,2024,0.0267702980009815
11_63,79.4257312142411,40.7408403482599,Current,2024,0.0326903943534356
11_64,79.2390432908835,41.1357720898828,Current,2024,0.0273804625805115
12_36,83.7592574283554,29.9474717183017,Current,2024,0.159177736384109
12_39,83.4306230987126,31.1791766402165,Current,2024,0.0449287429693125
12_53,81.6032324229366,36.875772759095,Current,2024,0.0630471213724488
12_57,80.9801056000261,38.4850305217971,Current,2024,0.0359031228576019
12_61,80.3053581829073,40.0846023292588,Current,2024,0.0272573006875029
12_62,80.1281027689622,40.4828676194277,Current,2024,0.0269979910225349
12_64,79.7628028047095,41.2773298022345,Current,2024,0.0252059764078135
13_35,84.3359954928946,29.6264054118345,Current,2024,0.166221408172575
13_39,83.9086321326238,31.2755342789141,Current,2024,0.0510957825678046
13_59,81.1657185076829,39.4161768121953,Current,2024,0.0349243688229198
13_60,80.9975792225863,39.8176132008156,Current,2024,0.0354978307589356
13_61,80.8260390673931,40.2184171685431,Current,2024,0.0360822362616999
13_62,80.6510263840094,40.6185728850068,Current,2024,0.0283780406752034
13_63,80.4724674345082,41.0180640542544,Current,2024,0.0285303983151833
13_64,80.2902863379842,41.4168738971891,Current,2024,0.0282855462707203
13_65,80.1044050055332,41.8149851332937,Current,2024,0.0265644313094193
14_33,85.0073936788316,28.88557815062,Current,2024,0.089152834996215
14_34,84.909616274914,29.3005598744491,Current,2024,0.0777190743848404
14_39,84.3889237167017,31.3703635957575,Current,2024,0.0696088763507901
14_53,82.6135235001585,37.1126163257942,Current,2024,0.03186320461034
14_57,82.0072339968688,38.7359897150803,Current,2024,0.0284665520240481
14_61,81.350192133482,40.3502321807897,Current,2024,0.0340861961526221
14_62,81.1774959080633,40.7522574661485,Current,2024,0.0290714651322435
14_63,81.0012805023214,41.1536375061805,Current,2024,0.0276935331301599
14_64,80.8214697280856,41.5543559296217,Current,2024,0.0274990555461874
14_65,80.6379851473439,41.9543958709849,Current,2024,0.0262009422379428
14_67,80.2596691429162,42.7523702596264,Current,2024,0.0288593957590669
15_32,85.5742999358135,28.5532742917097,Current,2024,0.0305522607234209
15_33,85.4801046734214,28.9700135060839,Current,2024,0.0328884475698764
15_34,85.3838966756791,29.3864410127795,Current,2024,0.0760894034643804
15_38,84.9782592576718,31.0488819444009,Current,2024,0.0563110621299473
15_52,83.2650604154443,36.8193944730148,Current,2024,0.0899299911804765
15_53,83.1230690953127,37.2282541357549,Current,2024,0.0366647985196896
15_54,82.9781836416746,37.6366124089234,Current,2024,0.0281687617158432
15_61,81.8777900210283,40.4800018213836,Current,2024,0.0278137468264107
15_63,81.5336885637133,41.287122120861,Current,2024,0.0282896772385639
15_66,80.9905862343701,42.4929466824909,Current,2024,0.0279060002626883
15_67,80.8020433586758,42.8935259963002,Current,2024,0.0289357047425662
16_31,86.1381183283625,28.2163990294835,Current,2024,0.0645006539056098
16_32,86.0474493986381,28.6348457859073,Current,2024,0.0774390118037061
16_33,85.9548282486194,29.0529980810412,Current,2024,0.114411924963493
16_34,85.8602228318748,29.4708488396329,Current,2024,0.105796347668829
16_35,85.7636001728054,29.8883908280654,Current,2024,0.110852060417407
16_38,85.4612844800034,31.139089339246,Current,2024,0.0725747545312067
16_41,85.139531478154,32.3867320622725,Current,2024,0.0746640958340913
16_64,81.8948280120174,41.8229404765565,Current,2024,0.0279649263590064
16_67,81.3483128305842,43.0324559800519,Current,2024,0.0267007512041578
16_68,81.1585245071836,43.4342730493466,Current,2024,0.0285955359774138
16_69,80.9647817145736,43.8353830086906,Current,2024,0.0297629039673419
16_70,80.766992701775,44.2357671637391,Current,2024,0.0283378869348725
17_31,86.6116428740977,28.2951372099526,Current,2024,0.0680789930289536
17_32,86.5225509312214,28.7149641398342,Current,2024,0.0422882179198448
17_37,86.04759500279,30.809690980476,Current,2024,0.0845461049761763
17_57,83.5716172415515,39.0976427538265,Current,2024,0.0338053153188319
17_62,82.7778980684131,41.1407231823353,Current,2024,0.0281019215814512
17_64,82.4369430318994,41.9539466655812,Current,2024,0.0315090519473286
17_66,82.0816638240749,42.7646995468111,Current,2024,0.0280649224119027
17_67,81.8984473130074,43.1691090688841,Current,2024,0.0293846769740886
17_68,81.7113982338628,43.5728513779242,Current,2024,0.0286569712842307
17_69,81.5204272675168,43.975908842405,Current,2024,0.0300061814975963
17_70,81.3254423095912,44.3782632594521,Current,2024,0.0279231512234388
17_71,81.1263483769711,44.7798958315896,Current,2024,0.0304545990268371
18_30,87.1726811357724,27.950969230338,Current,2024,0.0516707578910003
18_31,87.0870594124833,28.3724211326531,Current,2024,0.101391570781593
18_32,86.9995753660189,28.7936047407369,Current,2024,0.0361304936846758
18_33,86.9101983371114,29.2145135932116,Current,2024,0.0651401922614359
18_37,86.5331151122425,30.8952670773388,Current,2024,0.0775319705081483
18_38,86.4337807992735,31.3147000124764,Current,2024,0.0747317133398352
18_62,83.3182583113365,41.265861946538,Current,2024,0.0274136749448608
18_63,83.1521808814319,41.6745710745128,Current,2024,0.0291879664959024
18_64,82.9826380775938,42.0826982198306,Current,2024,0.0283932863043647
18_65,82.8095507955932,42.4902282767354,Current,2024,0.0274631311290838
18_66,82.6328374550181,42.8971456614146,Current,2024,0.026233412991064
18_67,82.4524139144554,43.3034342925843,Current,2024,0.0292134795437679
18_68,82.268193383619,43.7090775712067,Current,2024,0.0284913274645306
18_70,81.8880003963024,44.518358957772,Current,2024,0.0269829764441265
19_30,87.6483519911749,28.0254519159379,Current,2024,0.0776936163652695
19_31,87.5643381281281,28.4482269588738,Current,2024,0.0684560802773181
19_32,87.4784926331031,28.8707432281594,Current,2024,0.094454531913166
19_33,87.3907851267683,29.292994492938,Current,2024,0.098665793176517
19_38,86.923189729937,31.4000476451722,Current,2024,0.0557964790195523
19_39,86.8236199490907,31.8205698796153,Current,2024,0.0533352430047168
19_42,86.5121476359072,33.0802295162916,Current,2024,0.0748671261510848
19_58,84.482640753237,39.7414871355773,Current,2024,0.0382206002492128
19_61,84.0220078420172,40.9777216669665,Current,2024,0.0333729646946397
19_65,83.3615928316325,42.6184888974387,Current,2024,0.0285333348049892
19_66,83.1877208445575,43.0272385641403,Current,2024,0.0253155287398112
19_67,83.0101770496189,43.4353808966997,Current,2024,0.0311256988920556
19_68,82.8288745815586,43.8428997896589,Current,2024,0.027875477152571
19_70,82.4546321584158,44.6560001724729,Current,2024,0.0288337324325022
19_71,82.2615041687202,45.0615467219645,Current,2024,0.0292308085402889
1_57,75.5657679379259,36.9799007971408,Current,2024,0.0400836957404077
1_58,75.3827930573414,37.3595823097476,Current,2024,0.0318372889190025
1_59,75.1963577077597,37.7384588294452,Current,2024,0.0315708315300814
1_60,75.0064000543341,38.1165115800656,Current,2024,0.0311238395093122
1_62,74.6156630433277,38.8700682645911,Current,2024,0.0309475868262155
1_63,74.4147524712653,39.2455321953381,Current,2024,0.0321915464874456
1_64,74.2100571049616,39.6200923188995,Current,2024,0.0307198260947505
1_65,74.001507380587,39.9937273128841,Current,2024,0.0307728461908176
20_30,88.1258248307825,28.098457388852,Current,2024,0.0781328340593028
20_32,87.9592717617638,28.9463555117432,Current,2024,0.109456312458941
20_33,87.8732650514564,29.3699245736513,Current,2024,0.107802257950285
20_39,87.3169914370057,31.9056233492482,Current,2024,0.0517692817907965
20_54,85.5802964662889,38.1935975297678,Current,2024,0.033385240924787
20_55,85.4442717286492,38.6096967152852,Current,2024,0.056638067922455
20_62,84.4091052883023,41.5093403310475,Current,2024,0.0278068663720972
20_65,83.9172220649372,42.7443733740402,Current,2024,0.0279741969490375
20_66,83.7462755941769,43.1549288294243,Current,2024,0.0254545934992952
20_67,83.5716983943789,43.5648983875697,Current,2024,0.0293967660084065
20_68,83.3934036197626,43.9742664460678,Current,2024,0.0258350953890867
20_69,83.2113016044589,44.3830168859659,Current,2024,0.0263647417108742
20_70,83.0252997609437,44.7911330499827,Current,2024,0.0272812935525378
20_71,82.835302474594,45.1985977197052,Current,2024,0.028094982802589
20_72,82.6412109942416,45.6053930917145,Current,2024,0.0283854184170487
21_31,88.5243584556618,28.5953103178116,Current,2024,0.0461927305219286
21_32,88.4418808830515,29.0204177890887,Current,2024,0.0660352318236414
21_33,88.3576059330955,29.445279509421,Current,2024,0.0617362769559173
21_39,87.8124300368466,31.9889489485393,Current,2024,0.0558495347616049
21_57,85.7003047404808,39.5505030910328,Current,2024,0.0357613108569751
21_60,85.2651258510392,40.7981934957614,Current,2024,0.0323184689350146
21_63,84.8018436164281,42.0415307983236,Current,2024,0.0243843451809189
21_65,84.4763974658559,42.8678336432027,Current,2024,0.0235663247777197
21_66,84.3084606192224,43.280167344934,Current,2024,0.0309667726651698
21_67,84.1369368440465,43.6919365783619,Current,2024,0.0292794121423263
21_69,83.7827787393389,44.5137207734188,Current,2024,0.0272502178944432
21_70,83.5999622836631,44.9237040192988,Current,2024,0.0291747057668891
21_72,83.2223763927072,45.7417694381155,Current,2024,0.0285630119682854
21_73,83.0274060683095,46.149816531745,Current,2024,0.0291085023649429
21_74,82.8281779419474,46.5571821413248,Current,2024,0.0306939237512734
22_29,89.1633592623986,27.8131248507395,Current,2024,0.0833364513723008
22_30,89.0860505730992,28.2399458642673,Current,2024,0.05604190203781
22_32,88.9262872332824,29.0929065636561,Current,2024,0.036331264443408
22_33,88.8437746720493,29.5190352845002,Current,2024,0.0378284826065531
22_38,88.4036640526479,31.6459319193483,Current,2024,0.0594114880737102
22_52,86.89457102461,37.5621689727638,Current,2024,0.0610363747599135
22_55,86.509953298872,38.8210116443925,Current,2024,0.0416811966835061
22_61,85.6646796191965,41.3273331896897,Current,2024,0.0266479242264708
22_63,85.3584730154646,42.1590820270665,Current,2024,0.0229321048803409
22_65,85.0390753778184,42.9888220048994,Current,2024,0.0270705669672383
22_66,84.8742321139753,43.4029053572578,Current,2024,0.0262290616271482
22_67,84.705848475095,43.8164456360573,Current,2024,0.0249007921140486
22_68,84.5338379509538,44.2294282703226,Current,2024,0.026681328859858
22_69,84.3581111460428,44.641838197672,Current,2024,0.027656067572274
22_70,84.1785756711822,45.053659843072,Current,2024,0.024083529317941
22_71,83.9951360307004,45.464877096565,Current,2024,0.0276535503001771
22_72,83.8076935050097,45.875473289915,Current,2024,0.0340069284654955
22_73,83.6161460284038,46.2854311721151,Current,2024,0.0293140304152314
22_74,83.4203880619024,46.6947328836941,Current,2024,0.0303257896815239
22_75,83.2203104609622,47.1033599297606,Current,2024,0.0274695146467125
23_30,89.5687384258162,28.3083842102252,Current,2024,0.0674511270241831
23_31,89.491447882877,28.7362022238358,Current,2024,0.0647244404895744
23_32,89.4124571585262,29.1637986626827,Current,2024,0.0498655057794611
23_33,89.3317372514482,29.5911682117412,Current,2024,0.0467059694731548
23_34,89.2492582817266,30.0183054364801,Current,2024,0.0593753510801692
23_35,89.164989463637,30.4452047783188,Current,2024,0.0534156091387609
23_37,88.9909544396069,31.2982669301706,Current,2024,0.0565863131605046
23_38,88.9011218730019,31.7244179592638,Current,2024,0.0627912035132932
23_41,88.6199442393203,33.0012771451154,Current,2024,0.0567894283904329
23_60,86.3639996067957,41.0209088492072,Current,2024,0.0306595473009437
23_61,86.2185906776658,41.439125615982,Current,2024,0.0306873677964494
23_62,86.0700815705796,41.8568843625176,Current,2024,0.0304793873884368
23_65,85.6052094890118,43.1072911676077,Current,2024,0.0254886369874474
23_66,85.4435435203515,43.5230945184192,Current,2024,0.0226844934265368
23_67,85.2783865106422,43.9383761293227,Current,2024,0.0272959686977449
23_68,85.1096522720362,44.3531219560632,Current,2024,0.0322223107680791
23_69,84.9372517050757,44.7673174765194,Current,2024,0.0310668224114309
23_70,84.7610926871358,45.1809476697934,Current,2024,0.0313681657181233
23_71,84.5810799561591,45.5939969942737,Current,2024,0.0277398546772552
23_72,84.3971149894907,46.0064493646155,Current,2024,0.0277473956523928
23_73,84.2090958776142,46.4182881275807,Current,2024,0.0315623805950979
23_74,84.0169171925882,46.829496036673,Current,2024,0.0307381932462784
24_30,90.0530981732068,28.3752560643134,Current,2024,0.11542901891448
24_31,89.9775597331079,28.8042699298481,Current,2024,0.0505107050917442
24_32,89.9003561200924,29.2330712550922,Current,2024,0.0619763146505867
24_34,89.7408381378077,30.0900158140637,Current,2024,0.0783301128182371
24_38,89.4005021489568,31.8011226089326,Current,2024,0.072282867822014
24_39,89.3107910109049,32.2282869300168,Current,2024,0.082291563967995
24_59,87.0574252745459,40.7084310198545,Current,2024,0.037036258000934
24_60,86.9180034580887,41.1286665040693,Current,2024,0.0284049920916313
24_62,86.6301491673578,41.9678419706356,Current,2024,0.0268078568675969
24_63,86.4815737336425,42.3867593750886,Current,2024,0.0262817970949556
24_64,86.3298001467117,42.8052142276077,Current,2024,0.0249264063833615
24_66,86.0163455004682,43.6406869331482,Current,2024,0.0256330783010295
24_67,85.8545012899434,44.0576790772026,Current,2024,0.0351009578497471
24_68,85.6891324177426,44.4741572149762,Current,2024,0.0341123612955448
24_69,85.5201501919854,44.8901073713637,Current,2024,0.0232327581278095
24_70,85.3474628728346,45.3055150870136,Current,2024,0.0287407569110164
24_71,85.1709755529799,45.7203653967722,Current,2024,0.0310695011077741
24_72,84.9905900329286,46.1346428070489,Current,2024,0.0280041079472768
24_74,84.6177143469788,46.9614141687509,Current,2024,0.0295538793604749
25_30,90.5390952101896,28.4405399341243,Current,2024,0.0619396106804973
25_31,90.4653366154716,28.8707227166205,Current,2024,0.0430497432748468
25_32,90.3899487010335,29.3007018693718,Current,2024,0.0378422484609539
25_33,90.3129033111718,29.7304725275635,Current,2024,0.0423846315500795
25_34,90.2341714276826,30.1600297169299,Current,2024,0.0567022557367839
25_35,90.1537231426177,30.5893683495273,Current,2024,0.138545844875403
25_37,89.9875531160448,31.4473689976685,Current,2024,0.0690006081250755
25_55,88.1289979375866,39.1211871644478,Current,2024,0.0515795327414823
25_56,88.0036631829041,39.5445036366407,Current,2024,0.0497764629974788
25_59,87.6113830694383,40.8121919735616,Current,2024,0.0281861905358992
25_62,87.193339434917,42.0762817680354,Current,2024,0.0219747667287938
25_63,87.0479460660483,42.4967963942961,Current,2024,0.0246560512205077
25_64,86.8994078093732,42.9168680670066,Current,2024,0.0212270166877316
25_65,86.7476476419887,43.3364850484893,Current,2024,0.0227657686830366
25_66,86.5925859133148,43.7556352068404,Current,2024,0.0243447012603943
25_67,86.4341402421503,44.1743059985575,Current,2024,0.029930484558177
25_68,86.2722254091511,44.5924844503039,Current,2024,0.0330882100862334
25_69,86.1067532445204,45.0101571397605,Current,2024,0.0225511899284447
25_71,85.7647687797701,45.8439291759354,Current,2024,0.027688021971031
25_72,85.5880643055118,46.2599992469634,Current,2024,0.0326815372540653
25_73,85.4074178895636,46.6755049587808,Current,2024,0.0159371755299139
26_29,91.0970797829696,28.0727000963691,Current,2024,0.0306048331383141
26_30,91.0266941123385,28.5042146919688,Current,2024,0.0690214888269252
26_31,90.9547426781984,28.9355389777005,Current,2024,0.0508468337133922
26_32,90.8811986136772,29.3666684113938,Current,2024,0.0272671528667056
26_33,90.8060342251586,29.7975983503981,Current,2024,0.0271779407113321
26_34,90.7292209661507,30.2283240476797,Current,2024,0.0580644448287063
26_35,90.6507294100919,30.6588406477595,Current,2024,0.0561324395271883
26_55,88.6739675022609,39.2166176324902,Current,2024,0.0507445925392216
26_62,87.7595996908115,42.1821609755579,Current,2024,0.0220872549405028
