Feature,Gain,Cover,Frequency
prec_anom_z,0.112585198973717,0.11384299620892,0.0931919642857143
temp_grad_z_x_eff,0.100419752327385,0.0946497139146182,0.104352678571429
temp_anom_z_x_eff,0.0871570451751985,0.0766783847063857,0.0597098214285714
mahalanobis_dist_z,0.0764450901542003,0.0800690018565069,0.0747767857142857
temp_anom_z,0.0742525434587451,0.084955987199759,0.078125
climate_exposure_z,0.0706073673903599,0.0773225625424539,0.0491071428571429
temp_grad_z,0.0681964210251731,0.062119647246941,0.101004464285714
precip_velocity_z,0.0674969248060119,0.0660774067767408,0.0479910714285714
prec_grad_z,0.059454636192875,0.0577843151137924,0.08203125
mahalanobis_dist_z_x_eff,0.0462659417248687,0.054162087932224,0.046875
log_effort_record_z,0.0440804622757552,0.0585421029929386,0.0518973214285714
log_effort_observers_z,0.0320052640428698,0.0256453111150575,0.0284598214285714
climate_velocity_z_x_eff,0.0318832936052217,0.0257237502968712,0.03515625
warming_rate_z,0.0249695725128052,0.0199422281023377,0.0234375
log_effort_days_z,0.0222179840681019,0.0311362621467894,0.0251116071428571
effort_pc1_z,0.021780731441744,0.0221520354673878,0.0239955357142857
climate_velocity_z,0.0209012460770109,0.0198736258800855,0.0267857142857143
log_effort_visits_z,0.0172843470524265,0.0112565495702495,0.0167410714285714
year_c,0.016515385120292,0.0162461055810539,0.01953125
mig_code,0.00548079257523802,0.00181992534888705,0.01171875
