group,n,events,hr,hr.low,hr.high,p.value
All species,12555,501,1.28899138163014,1.17841845220911,1.40993954974318,2.89262846151358e-08
Resident,4762,203,1.42880186305185,1.20878973252303,1.68885845812026,2.88202665991419e-05
Migrant (all),7793,298,1.24866940141768,1.11786850296823,1.39477520826177,8.36756868892266e-05
Partial migrant,3317,131,1.27125127967939,1.06135790397348,1.52265301839865,0.00913933340913633
Long-distance migrant,4476,167,1.26265865018643,1.09090876149813,1.46144840261542,0.00176943570023497
