run,spec_id,spec_label,model,term,beta,se,hr,hr.low,hr.high,p.value
v3,spec_A,Record-based (legacy),M0,(Intercept),-5.48686575728761,0.113319531886951,0.00414080213586717,0.00331607959133201,0.00517063654721108,0
v3,spec_A,Record-based (legacy),M1,(Intercept),-5.54716564729171,0.127746548816059,0.00389849129825719,0.00303498473853933,0.00500768066791056,0
v3,spec_A,Record-based (legacy),M1,effort_z,0.48629158774209,0.0375352132921734,1.62627412868358,1.51092579117097,1.75042848370191,2.18392876540827e-38
v3,spec_A,Record-based (legacy),M2,(Intercept),-5.48738889397114,0.106545366441305,0.00413863649688263,0.00335864448934224,0.00509976929909702,0
v3,spec_A,Record-based (legacy),M2,climate_z,0.192640301637188,0.0467973341904936,1.21244660001776,1.10618540715605,1.32891534130248,3.84702289744346e-05
v3,spec_A,Record-based (legacy),M3,(Intercept),-5.55151101971164,0.131933631205965,0.0038815876546021,0.00299712753636908,0.00502705425028802,0
v3,spec_A,Record-based (legacy),M3,climate_z,-0.0627599778118366,0.0502433031302685,0.939168868004986,0.851090464798871,1.03636240694837,0.211620727959337
v3,spec_A,Record-based (legacy),M3,effort_z,0.511226681222561,0.0427659449741805,1.66733522981811,1.53327416965233,1.81311785172966,6.18290630089394e-33
v3,spec_A,Record-based (legacy),M4,(Intercept),-5.65419088381359,0.136908529822725,0.00350280611765472,0.00267841091558162,0.00458094410626122,0
v3,spec_A,Record-based (legacy),M4,climate_z,-0.163531091741894,0.0487824953653118,0.849140097346411,0.771711284544089,0.934337645907883,0.000801577680279268
v3,spec_A,Record-based (legacy),M4,effort_z,0.375241370785595,0.0471519311613181,1.45534264942619,1.32687106215137,1.59625323639563,1.74653622449016e-15
v3,spec_A,Record-based (legacy),M4,climate_z:effort_z,0.291148555067159,0.0332181960804886,1.33796333041968,1.25362692597461,1.42797337585582,1.87223051910152e-18
v3,spec_A,Record-based (legacy),M5,(Intercept),-11.370832175833,0.286007298095649,1.15268417643362e-05,6.5804562238401e-06,2.019131752274e-05,0
v3,spec_A,Record-based (legacy),M5,climate_z,-0.895889716766981,0.0399847148650717,0.408244215287324,0.377471670590468,0.441525423761885,3.45494699334775e-111
v3,spec_B,Observer visits,M0,(Intercept),-5.51162706186939,0.112051228209267,0.0040395294689674,0.00324302913036991,0.00503165333232599,0
v3,spec_B,Observer visits,M1,(Intercept),-5.62963444687173,0.128501141788191,0.00358988738206712,0.00279060549115157,0.00461809863729848,0
v3,spec_B,Observer visits,M1,effort_z,0.646905119264343,0.0392765282775067,1.90962162294688,1.76813111907877,2.06243456917735,5.97476131556352e-61
