run,model,AIC,BIC,logLik,df,nobs,dAIC,akaike_weight
v3,M0,10226.3331602311,10256.7796029112,-5110.16658011554,3,188870,332.106143512458,7.65715138190898e-73
v3,M1,9956.25561612295,9996.85087302971,-4974.12780806147,4,188870,62.028599404317,3.3936010008512e-14
v3,M2,10211.1680313793,10251.7632882861,-5101.58401568965,4,188870,316.94101466067,1.50360278698483e-69
v3,M3,9945.67824569774,9996.42231683119,-4967.83912284887,5,188870,51.4512289791128,6.72214047152175e-12
v3,M4,9894.22701671863,9955.11990207877,-4941.11350835932,6,188870,0,0.999999999993244
