scale,model,term,beta,se,hr,hr.low,hr.high,p.value
county,M0,(Intercept),-9.02663137033831,0.31299234745954,0.000120166608934897,6.50667838709935e-05,0.000221926043425512,6.80586974283373e-183
county,M1,(Intercept),-8.97376938659376,0.31707378686822,0.000126689748363067,6.80523014906885e-05,0.000235852307544564,3.28096084959297e-176
county,M1,effort_z,0.129331363247345,0.0591273956371696,1.13806717532675,1.01353241314887,1.27790377372564,0.0287181498709828
county,M2,(Intercept),-9.05686287168124,0.312889105211753,0.000116588155483589,6.31419293945529e-05,0.000215273719529991,3.15856200674733e-184
county,M2,climate_z,0.124561261311544,0.0628388551170321,1.13265140604555,1.00139808168841,1.28110811382217,0.0474531527988291
county,M3,(Intercept),-8.99752638336301,0.317195670624839,0.000123715450501416,6.64387625951913e-05,0.000230370225075145,5.33602771735416e-177
county,M3,climate_z,0.122804172441667,0.0626826894819332,1.13066298429499,0.999946102509599,1.2784676902549,0.0500963782128129
county,M3,effort_z,0.128260237692574,0.0592566078714098,1.13684881511707,1.01219099800569,1.27685904239371,0.0304268893628303
county,M4,(Intercept),-8.97554995550813,0.31806913876315,0.000126464369246433,6.77988403271243e-05,0.000235892481519329,3.43218843874039e-175
county,M4,climate_z,0.120696977844663,0.0622766012077073,1.12828296582514,0.998635770885294,1.27476151774799,0.0526135755738393
county,M4,effort_z,0.118266344158409,0.0600895316587358,1.1255438534787,1.00049098259981,1.26622727054644,0.0490486135962498
county,M4,climate_z:effort_z,0.107573553716665,0.056101366876851,1.11357276514997,0.997617716789455,1.24300549440368,0.0551762899470258
