run,n_rows,n_species,n_events,interaction_beta,interaction_HR,HR_low,HR_high,p_value
"v1 (published, threshold=100)",12813,333,512,0.256,1.292,1.182,1.411,1.5e-08
"v2 (refit, same data as v1)",12813,333,512,0.253153351770494,1.28808079115952,1.17889391512849,1.40738034462864,2.12254206376271e-08
v3 (relaxed: threshold=50 + force-include + 501 species),188870,463,817,0.241776303369514,1.2735092812154,1.19770878935586,1.3541070281483,1.14314024753718e-14
