run,spec_id,spec_label,model,AIC,BIC,logLik,df,nobs,dAIC,akaike_weight
v3,spec_A,Record-based (legacy),M0,10178.2120144317,10208.5885375863,-5086.10600721586,3,184519,228.923541574455,1.94932637168254e-50
v3,spec_A,Record-based (legacy),M1,10017.6979204348,10058.1999513076,-5004.8489602174,4,184519,68.4094475775273,1.39661661226088e-15
v3,spec_A,Record-based (legacy),M2,10163.3791351992,10203.881166072,-5077.68956759962,4,184519,214.090662341963,3.24192795197055e-47
v3,spec_A,Record-based (legacy),M3,10018.1429903196,10068.7705289105,-5004.07149515978,5,184519,68.8545174622996,1.11797349144757e-15
v3,spec_A,Record-based (legacy),M4,9949.28847285727,10010.0415191664,-4968.64423642863,6,184519,0,0.999999999999998
v3,spec_A,Record-based (legacy),M5,11029.8441589612,11070.346189834,-5510.9220794806,4,184519,1080.55568610392,2.29252493449156e-235
v3,spec_B,Observer visits,M0,10226.3331602311,10256.7796029112,-5110.16658011554,3,188870,332.106143512458,7.65715138190898e-73
v3,spec_B,Observer visits,M1,9956.25561612295,9996.85087302971,-4974.12780806147,4,188870,62.028599404317,3.3936010008512e-14
v3,spec_B,Observer visits,M2,10211.1680313793,10251.7632882861,-5101.58401568965,4,188870,316.94101466067,1.50360278698483e-69
v3,spec_B,Observer visits,M3,9945.67824569774,9996.42231683119,-4967.83912284887,5,188870,51.4512289791128,6.72214047152175e-12
v3,spec_B,Observer visits,M4,9894.22701671863,9955.11990207877,-4941.11350835932,6,188870,0,0.999999999993244
v3,spec_B,Observer visits,M5,10574.9892497874,10615.5845066942,-5283.49462489371,4,188870,680.762233068792,1.49403009245922e-148
v3,spec_C,PCA composite,M0,10226.3331602311,10256.7796029112,-5110.16658011554,3,188870,148.772858090148,3.25243756704201e-33
v3,spec_C,PCA composite,M1,10094.1389770347,10134.7342339415,-5043.06948851737,4,188870,16.5786748938008,0.000165124349464381
v3,spec_C,PCA composite,M2,10211.1680313793,10251.7632882861,-5101.58401568965,4,188870,133.60772923836,6.38667560086727e-30
v3,spec_C,PCA composite,M3,10096.0292114304,10146.7732825638,-5043.01460571519,5,188870,18.4689092894296,6.41729399262084e-05
v3,spec_C,PCA composite,M4,10078.8650311551,10139.7579165153,-5033.43251557756,6,188870,1.30472901417306,0.342378374611058
v3,spec_C,PCA composite,M5,10077.5603021409,10118.1555590477,-5034.78015107047,4,188870,0,0.657392328099552
v3,spec_D,Birding days,M0,10226.3331602311,10256.7796029112,-5110.16658011554,3,188870,357.759066184355,2.05876062080633e-78
v3,spec_D,Birding days,M1,9959.12001117526,9999.71526808202,-4975.56000558763,4,188870,90.5459171285238,2.17873252162979e-20
v3,spec_D,Birding days,M2,10211.1680313793,10251.7632882861,-5101.58401568965,4,188870,342.593937332567,4.04270211307651e-75
v3,spec_D,Birding days,M3,9956.87004527196,10007.6141164054,-4973.43502263598,5,188870,88.2959512252237,6.71085421244344e-20
v3,spec_D,Birding days,M4,9868.57409404673,9929.46697940687,-4928.28704702337,6,188870,0,1
v3,spec_D,Birding days,M5,10155.2813176474,10195.8765745541,-5073.64065882369,4,188870,286.707223600639,5.52481110846064e-63
