scale,model,term,beta,se,hr,hr.low,hr.high,p.value
county,M0,(Intercept),-7.83066667427128,0.248668898950687,0.000397360481955813,0.000244069456299108,0.000646927948356861,1.17812091400899e-217
county,M1,(Intercept),-7.71131838895506,0.232936369258842,0.000447730804504101,0.00028362044563223,0.000706799796661449,2.53255870827396e-240
county,M1,effort_z,0.174243347708049,0.0435527444668596,1.19034519835403,1.09294946014746,1.29642013918314,6.31438449975025e-05
county,M2,(Intercept),-7.84928566616982,0.249723093834714,0.000390030480732657,0.000239072685201661,0.000636307639127528,7.40654214591234e-217
county,M2,climate_z,0.143519469391257,0.0473925203909488,1.15432928467681,1.05193374198182,1.26669203989229,0.0024592178798155
county,M3,(Intercept),-7.71594353060736,0.232502634119025,0.000445664767650765,0.000282551790922792,0.000702940457310649,1.68709763557905e-241
county,M3,climate_z,0.145383814927922,0.0471658396146053,1.1564833606736,1.05436508361306,1.26849208523841,0.00205341182756125
county,M3,effort_z,0.175876543332105,0.0434726927783187,1.1922908533082,1.09490769781935,1.29833545029743,5.21717692668912e-05
county,M4,(Intercept),-7.71562675290295,0.232754084428618,0.000445805966675968,0.000282502047848435,0.000703509802628128,5.80321890469651e-241
county,M4,climate_z,0.143609970529926,0.047229273110784,1.15443375751886,1.05236561344314,1.26640141361016,0.00236030207133533
county,M4,effort_z,0.17417990458039,0.0436798483778761,1.19026968152719,1.09260789382344,1.29666088152186,6.67312883229383e-05
county,M4,climate_z:effort_z,0.0210170500260385,0.038066033490646,1.02123946364854,0.947818381653182,1.10034798047921,0.580865571131359
