spec_id,spec_label,effort_var,model,AIC,BIC,logLik,df,nobs,converged,dAIC
spec_A,Record-based (legacy),log_effort_record_z,M4,4205.87360725052,4250.62290060758,-2096.93680362526,6,12813,TRUE,0
spec_A,Record-based (legacy),log_effort_record_z,M0,4222.24943302669,4244.62407970522,-2108.12471651334,3,12813,TRUE,16.3758257761692
spec_A,Record-based (legacy),log_effort_record_z,M1,4222.74061301209,4252.57347525012,-2107.37030650604,4,12813,TRUE,16.8670057615682
spec_A,Record-based (legacy),log_effort_record_z,M3,4222.90489818461,4260.19597598216,-2106.4524490923,5,12813,TRUE,17.0312909340901
spec_A,Record-based (legacy),log_effort_record_z,M2,4223.10753187221,4252.94039411025,-2107.55376593611,4,12813,TRUE,17.2339246216952
spec_B,Observer visits,log_effort_visits_z,M4,4196.14443787285,4240.89373122991,-2092.07221893643,6,12813,TRUE,0
spec_B,Observer visits,log_effort_visits_z,M0,4222.24943302669,4244.62407970522,-2108.12471651334,3,12813,TRUE,26.1049951538362
spec_B,Observer visits,log_effort_visits_z,M2,4223.10753187221,4252.94039411025,-2107.55376593611,4,12813,TRUE,26.9630939993622
spec_B,Observer visits,log_effort_visits_z,M1,4224.18280038885,4254.01566262689,-2108.09140019442,4,12813,TRUE,28.0383625159957
spec_B,Observer visits,log_effort_visits_z,M3,4225.10454598528,4262.39562378283,-2107.55227299264,5,12813,TRUE,28.9601081124292
spec_C,PCA composite,effort_pc1_z,M4,4209.15684496758,4253.90613832464,-2098.57842248379,6,12813,TRUE,0
spec_C,PCA composite,effort_pc1_z,M0,4222.24943302669,4244.62407970522,-2108.12471651334,3,12813,TRUE,13.0925880591085
spec_C,PCA composite,effort_pc1_z,M2,4223.10753187221,4252.94039411025,-2107.55376593611,4,12813,TRUE,13.9506869046345
spec_C,PCA composite,effort_pc1_z,M1,4223.73705877359,4253.56992101163,-2107.86852938679,4,12813,TRUE,14.5802138060089
spec_C,PCA composite,effort_pc1_z,M3,4224.80936942133,4262.10044721887,-2107.40468471066,5,12813,TRUE,15.6525244537479
spec_D,Birding days,log_effort_days_z,M4,4197.45273945319,4242.20203281025,-2092.7263697266,6,12813,TRUE,0
spec_D,Birding days,log_effort_days_z,M0,4222.24943302669,4244.62407970522,-2108.12471651334,3,12813,TRUE,24.796693573493
spec_D,Birding days,log_effort_days_z,M2,4223.10753187221,4252.94039411025,-2107.55376593611,4,12813,TRUE,25.654792419019
spec_D,Birding days,log_effort_days_z,M1,4224.22089250146,4254.05375473949,-2108.11044625073,4,12813,TRUE,26.7681530482614
spec_D,Birding days,log_effort_days_z,M3,4225.10743044882,4262.39850824637,-2107.55371522441,5,12813,TRUE,27.6546909956269
