Feature,Gain,Cover,Frequency
temp_grad_z,0.121413932238709,0.0833121121164713,0.145478374836173
prec_anom_z,0.12012234473446,0.104355650182128,0.114678899082569
temp_grad_z_x_eff,0.100969874589356,0.112596938168822,0.0714285714285714
year_c,0.100072110971103,0.0855801908752246,0.0465268676277851
precip_velocity_z,0.0776187827927298,0.0832921484186577,0.055045871559633
mahalanobis_dist_z,0.0593652969648634,0.0745112502401475,0.0773263433813893
log_effort_observers_z,0.0590058725962058,0.0478703744113242,0.0465268676277851
climate_exposure_z,0.0535389996858931,0.0670459341656859,0.0465268676277851
log_effort_record_z,0.0527296597630227,0.0599469849073602,0.055045871559633
climate_velocity_z_x_eff,0.0377411588144745,0.0252748900614062,0.0445609436435125
mahalanobis_dist_z_x_eff,0.0304515211342263,0.0277841222216199,0.0373525557011796
log_effort_days_z,0.0287593601583789,0.0340679470075719,0.0307994757536042
effort_pc1_z,0.0256189415619535,0.0327346519183144,0.0235910878112713
climate_velocity_z,0.0243314203049988,0.0323872058468289,0.0301441677588467
log_effort_visits_z,0.0228251121242518,0.0277345401298469,0.0347313237221494
prec_grad_prov_z,0.0227774045135893,0.0348452349102352,0.0314547837483617
temp_anom_z,0.0222503319857051,0.0146527540051811,0.0307994757536042
warming_rate_z,0.0192237834347841,0.0299276443310152,0.0203145478374836
mig_code,0.0173085919565788,0.0188044676716537,0.0517693315858454
temp_anom_z_x_eff,0.00387549967471757,0.00327495841050539,0.00589777195281782
