spec_id,spec_label,effort_var,model,AIC,BIC,logLik,nobs,dAIC,akaike_weight
spec_A,Record-based (legacy),log_effort_record_z,M4,9949.28847285727,10010.0415191664,-4968.64423642863,184519,0,0.999999999999998
spec_A,Record-based (legacy),log_effort_record_z,M1,10017.6979204348,10058.1999513076,-5004.8489602174,184519,68.4094475775273,1.39661661226088e-15
spec_A,Record-based (legacy),log_effort_record_z,M3,10018.1429903196,10068.7705289105,-5004.07149515978,184519,68.8545174622996,1.11797349144757e-15
spec_A,Record-based (legacy),log_effort_record_z,M2,10163.3791351992,10203.881166072,-5077.68956759962,184519,214.090662341963,3.24192795197055e-47
spec_A,Record-based (legacy),log_effort_record_z,M0,10178.2120144317,10208.5885375863,-5086.10600721586,184519,228.923541574455,1.94932637168254e-50
spec_B,Observer visits (headline),log_effort_visits_z,M4,9866.6549260192,9927.40797232834,-4927.3274630096,184519,0,0.999999999997091
spec_B,Observer visits (headline),log_effort_visits_z,M3,9919.80321780964,9970.4307564006,-4954.90160890482,184519,53.1482917904432,2.87736579391167e-12
spec_B,Observer visits (headline),log_effort_visits_z,M1,9928.7950878336,9969.29711870636,-4960.3975439168,184519,62.1401618143973,3.2094847001747e-14
spec_B,Observer visits (headline),log_effort_visits_z,M2,10163.3791351992,10203.881166072,-5077.68956759962,184519,296.724209180031,3.69110715330356e-65
spec_B,Observer visits (headline),log_effort_visits_z,M0,10178.2120144317,10208.5885375863,-5086.10600721586,184519,311.557088412523,2.21941160360064e-68
spec_C,PCA composite,effort_pc1_z,M4,10034.8411382027,10095.5941845118,-5011.42056910134,184519,0,0.999585002196498
spec_C,PCA composite,effort_pc1_z,M1,10051.0618024854,10091.5638333582,-5021.5309012427,184519,16.2206642827186,0.000300294401762509
spec_C,PCA composite,effort_pc1_z,M3,10052.9866297879,10103.6141683789,-5021.49331489396,184519,18.1454915852337,0.000114703401739677
spec_C,PCA composite,effort_pc1_z,M2,10163.3791351992,10203.881166072,-5077.68956759962,184519,128.537996996543,1.22503451807814e-28
spec_C,PCA composite,effort_pc1_z,M0,10178.2120144317,10208.5885375863,-5086.10600721586,184519,143.370876229035,7.36596287051857e-32
spec_D,Birding days,log_effort_days_z,M4,9844.31630710671,9905.06935341585,-4916.15815355335,184519,0,1
spec_D,Birding days,log_effort_days_z,M3,9933.31421060556,9983.94174919651,-4961.65710530278,184519,88.9979034988501,4.72444507902409e-20
spec_D,Birding days,log_effort_days_z,M1,9934.82495129904,9975.32698217181,-4963.41247564952,184519,90.5086441923377,2.2197171186024e-20
spec_D,Birding days,log_effort_days_z,M2,10163.3791351992,10203.881166072,-5077.68956759962,184519,319.062828092525,5.20459798785204e-70
spec_D,Birding days,log_effort_days_z,M0,10178.2120144317,10208.5885375863,-5086.10600721586,184519,333.895707325017,3.12945267816921e-73
