run,spec_id,spec_label,model,term,beta,se,hr,hr.low,hr.high,p.value
v2,spec_A,Record-based (legacy),M0,(Intercept),-3.36438929241592,0.11511139254456,0.0345831298498703,0.0275981200750062,0.0433360267642333,8.73995993557266e-188
v2,spec_A,Record-based (legacy),M1,(Intercept),-3.34822694204061,0.115994868216255,0.0351466158746891,0.0279992687912967,0.044118459544448,3.25634023440054e-183
v2,spec_A,Record-based (legacy),M1,effort_z,-0.0573229168377388,0.0468352366511726,0.944289093280304,0.861465749456875,1.0350752682278,0.220979717593579
v2,spec_A,Record-based (legacy),M2,(Intercept),-3.36540967886254,0.115668058210567,0.0345478596905464,0.0275399094686332,0.0433390897873896,4.10337849211201e-186
v2,spec_A,Record-based (legacy),M2,climate_z,-0.0511386953590476,0.0476979703633465,0.950146880430571,0.865345251266381,1.0432588531234,0.283659099984638
v2,spec_A,Record-based (legacy),M3,(Intercept),-3.34581363565664,0.116811692537176,0.03523153785732,0.0280220226979298,0.0442959194335203,1.97089664648146e-180
v2,spec_A,Record-based (legacy),M3,climate_z,-0.0662614232116467,0.0486966367242166,0.935886169940339,0.850690563925609,1.02961401034441,0.17360910137268
v2,spec_A,Record-based (legacy),M3,effort_z,-0.070687133866295,0.0478096765665062,0.931753360601405,0.848407598605578,1.02328683337927,0.139271048554558
v2,spec_A,Record-based (legacy),M4,(Intercept),-3.33761260819426,0.118467337410572,0.0355216606934426,0.0281612435216162,0.0448058473501548,1.24325952354446e-174
v2,spec_A,Record-based (legacy),M4,climate_z,-0.117687767160355,0.0496339446258921,0.888973576030414,0.806565395921156,0.979801542288772,0.017734534829038
v2,spec_A,Record-based (legacy),M4,effort_z,-0.0484015442192135,0.047597087654749,0.952751138545461,0.867888667304332,1.04591149325535,0.309200345810218
v2,spec_A,Record-based (legacy),M4,climate_z:effort_z,0.193181245486409,0.0446602468002735,1.21310264297375,1.11142965242996,1.32407662434814,1.52134518348432e-05
