group,n,events,hr,hr.low,hr.high,p.value
All (v3),188870,817,1.2735092812154,1.19770878935586,1.3541070281483,1.14314024753718e-14
Resident,70174,221,1.27784036581954,1.14364596837339,1.42778101411949,1.48365020482993e-05
Migrant (all),103127,334,1.29061701714732,1.17407785642376,1.41872387409123,1.26596807795879e-07
Partial migrant,39146,152,1.22038816982798,1.05894918522847,1.40643886017512,0.00593796655410241
Long-distance migrant,63981,182,1.3249451057011,1.17193453294067,1.49793310443406,6.98839422863564e-06
