file,variable,type,n_missing,min,max,unit,description
events_100km_grid_assigned.csv,latitude,numeric,0,16.84,121.01,°N,""
events_100km_grid_assigned.csv,grid_id,integer,0,1,938,"",""
events_100km_grid_assigned.csv,pub_year,integer,0,2000,2025,year,""
events_100km_grid_assigned.csv,dist_to_grid,numeric,0,0.0123409178727019,67.8125403725399,"",""
events_50km_grid_assigned.csv,species,character,0,,,"",""
events_50km_grid_assigned.csv,province,character,0,,,"",""
events_50km_grid_assigned.csv,longitude,numeric,0,30.98,129.16,°E,""
events_50km_grid_assigned.csv,latitude,numeric,0,16.84,121.01,°N,""
events_50km_grid_assigned.csv,grid_id,integer,0,2,3791,"",""
events_50km_grid_assigned.csv,pub_year,integer,0,2000,2025,year,""
events_50km_grid_assigned.csv,dist_to_grid,numeric,0,0.0066432896215871,67.7158007237205,"",""
grid_100km_base.csv,grid_id,integer,0,1,941,"",""
grid_100km_base.csv,province,character,0,,,"",""
grid_100km_base.csv,centroid_lon,numeric,0,74.0009138241797,133.559583622361,"",""
grid_100km_base.csv,centroid_lat,numeric,0,18.8862461700293,53.1981450180888,"",""
grid_100km_climate.csv,province,character,0,,,"",""
grid_100km_climate.csv,grid_id,integer,0,1,941,"",""
grid_100km_climate.csv,bio1,numeric,0,-1.27255001068115,2.42356662750244,"",""
grid_100km_climate.csv,bio12,integer,0,15,2265,"",""
grid_100km_climate.csv,bio15,numeric,0,25.1156883239746,144.231155395508,"",""
grid_100km_climate.csv,elev,integer,0,0,5867,"",""
grid_100km_climate.csv,climate_velocity,numeric,0,0.0019952400259006,0.12331782628698,km/decade,""
grid_100km_climate.csv,precip_velocity,numeric,0,0.000591234616477401,0.0255717391345999,mm,""
grid_100km_climate.csv,climate_exposure,numeric,0,0.00710953190322487,0.0923150000809967,"",""
grid_100km_climate.csv,warming_rate,numeric,0,-0.0559222994950152,0.325590305177595,°C,""
grid_100km_climate.csv,spatial_temp_grad,numeric,0,0.0957281067967415,0.755940318107605,°C,""
grid_100km_climate.csv,spatial_prec_grad,numeric,0,41.6846771240234,558.830200195313,mm,""
grid_100km_effort.csv,province,character,0,,,"",""
grid_100km_effort.csv,year,integer,0,2002,2024,year,""
grid_100km_effort.csv,grid_id,integer,0,1,941,"",""
grid_100km_effort.csv,log_effort_record_z,numeric,1256,-2.03419201696452,2.76507636831817,z-score,""
grid_100km_effort.csv,log_effort_visits_z,numeric,572,-1.67667518925434,2.93315801551981,z-score,""
grid_100km_effort.csv,effort_pc1_z,numeric,572,-0.684247839773786,10.4950292737813,z-score,""
grid_100km_effort.csv,log_effort_days_z,numeric,572,-1.91286613097121,1.42785233195007,z-score,""
grid_100km_effort.csv,n_visits,integer,572,1,25948,"",""
grid_100km_effort.csv,n_birding_days,integer,572,1,365,"",""
grid_100km_risk_set.csv,province,character,0,,,"",""
grid_100km_risk_set.csv,year,integer,0,2002,2015,year,""
grid_100km_risk_set.csv,species,character,0,,,"",""
grid_100km_risk_set.csv,grid_id,integer,0,242,392,"",""
grid_100km_risk_set.csv,event,integer,0,0,1,"",""
grid_100km_risk_set.csv,temp_grad_prov_z,numeric,0,-1.68587327383867,0.186329847406554,°C,""
grid_100km_risk_set.csv,prec_grad_prov_z,numeric,0,-1.82426192430881,2.30827796300379,mm,""
grid_100km_risk_set.csv,climate_velocity_z,numeric,0,0.0247144110167908,0.0247144110167908,km/decade,""
grid_100km_risk_set.csv,precip_velocity_z,numeric,0,-0.141860160278138,-0.141860160278138,mm,""
grid_100km_risk_set.csv,climate_exposure_z,numeric,0,0.625999995756326,0.625999995756326,z-score,""
grid_100km_risk_set.csv,warming_rate_z,numeric,0,0.674578267823628,0.674578267823628,°C,""
grid_100km_risk_set.csv,mahalanobis_dist_z,numeric,0,-1.04892123515388,0.247091939695944,z-score,""
grid_100km_risk_set.csv,temp_anom,numeric,0,0.10724925994873,0.912541611290677,°C,""
grid_100km_risk_set.csv,prec_anom,numeric,0,-170.049987792969,276.182155064174,mm,""
grid_100km_risk_set.csv,log_effort_record_z,numeric,3822,-2.03419201696452,0.306153893563657,z-score,""
grid_100km_risk_set.csv,log_effort_visits_z,numeric,3822,-1.67667518925434,-0.256465708189781,z-score,""
grid_100km_risk_set.csv,effort_pc1_z,numeric,3822,-0.676958965852261,-0.40878728466226,z-score,""
grid_100km_risk_set.csv,log_effort_days_z,numeric,3822,-1.91286613097121,-0.0774053874398524,z-score,""
grid_100km_risk_set.csv,year_c,integer,0,-11,2,year,""
grid_100km_sdm_sample.csv,grid_id,integer,0,1,941,"",""
grid_100km_sdm_sample.csv,species,character,0,,,"",""
grid_100km_sdm_sample.csv,sdm_prob,numeric,0,2.22044604925031e-16,0.937176108360291,"",""
grid_50km_base.csv,grid_id,integer,0,1,3795,"",""
grid_50km_base.csv,province,character,0,,,"",""
grid_50km_base.csv,centroid_lon,numeric,0,73.8108623937328,134.607608792953,"",""
grid_50km_base.csv,centroid_lat,numeric,0,8.17245606664609,53.309403234223,"",""
grid_50km_climate.csv,province,character,0,,,"",""
grid_50km_climate.csv,grid_id,integer,0,1,3795,"",""
grid_50km_climate.csv,bio1,numeric,3,-1.81106662750244,2.52847232818604,"",""
grid_50km_climate.csv,bio12,integer,3,13,2616,"",""
grid_50km_climate.csv,bio15,numeric,3,26.8007831573486,150.668914794922,"",""
grid_50km_climate.csv,elev,integer,3,-42,6341,"",""
grid_50km_climate.csv,climate_velocity,numeric,0,0.0019952400259006,0.12331782628698,km/decade,""
grid_50km_climate.csv,precip_velocity,numeric,0,0.000591234616477401,0.0255717391345999,mm,""
grid_50km_climate.csv,climate_exposure,numeric,0,0.00710953190322487,0.0923150000809967,"",""
grid_50km_climate.csv,warming_rate,numeric,0,-0.0559222994950152,0.325590305177595,°C,""
