panel,source,cells_2024_nonzero,total_cells
"OLD (28b, from new-record coords)",events_100km_grid_assigned.csv,64,941
"NEW (59, merged Combined effort)",table_effort_by_grid_year_source_100km.csv (Combined),1120,1739
