grid,ssp,year,mean_delta_C,median_delta_C
100km,SSP245,2030,1.83,1.79
100km,SSP245,2050,2.71,2.73
100km,SSP245,2080,3.39,3.39
100km,SSP585,2030,2.01,1.98
100km,SSP585,2050,3.27,3.27
100km,SSP585,2080,4.8,4.83
50km,SSP245,2030,1.73,1.68
50km,SSP245,2050,2.58,2.55
50km,SSP245,2080,3.25,3.22
50km,SSP585,2030,1.92,1.86
50km,SSP585,2050,3.13,3.06
50km,SSP585,2080,4.6,4.5
