species,events_lost,provinces,first_year,last_year,in_birdwatch_modelled,in_rescue_modelled,modelling_status
Larus ichthyaetus,1,Liaoning,2014,2014,FALSE,FALSE,not_modelled_at_all
Larus relictus,1,Ningxia,2019,2019,FALSE,FALSE,not_modelled_at_all
Larus crassirostris,1,Hainan,2006,2006,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Onychoprion fuscatus,1,Yunnan,2023,2023,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Arenaria interpres,1,Yunnan,2014,2014,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Calidris alba,1,Yunnan,2017,2017,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Calidris bairdii,1,Zhejiang,2023,2023,FALSE,FALSE,not_modelled_at_all
Calidris canutus,1,Jilin,2010,2010,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Calidris pygmaea,1,Shandong,2018,2018,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Limosa lapponica,1,Yunnan,2013,2013,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Numenius phaeopus,1,Yunnan,2013,2013,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Tringa brevipes,1,Sichuan,2014,2014,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Tringa guttifer,1,Liaoning,2006,2006,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Stercorarius longicaudus,1,Jiangsu,2019,2019,FALSE,FALSE,not_modelled_at_all
Stercorarius pomarinus,1,Inner Mongolia,2007,2007,FALSE,TRUE,modelled_in_rescue_but_not_in_sdm_province
Turnix suscitator,1,Zhejiang,2023,2023,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Ciconia episcopus,1,Yunnan,2011,2011,FALSE,FALSE,not_modelled_at_all
Geopelia striata,1,Yunnan,2021,2021,FALSE,FALSE,not_modelled_at_all
Treron seimundi,1,Yunnan,2022,2022,FALSE,FALSE,not_modelled_at_all
Todiramphus chloris,1,Fujian,2006,2006,FALSE,FALSE,not_modelled_at_all
Merops philippinus,1,Henan,2023,2023,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Cacomantis merulinus,1,Shaanxi,2016,2016,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Clamator jacobinus,1,Yunnan,2021,2021,FALSE,FALSE,not_modelled_at_all
Hierococcyx nisicolor,1,Shaanxi,2016,2016,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Gavia stellata,1,Anhui,2021,2021,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Grus monacha,1,Ningxia,2021,2021,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Amaurornis cinerea,1,Yunnan,2017,2017,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Porphyrio porphyrio,1,Yunnan,2013,2013,FALSE,FALSE,not_modelled_at_all
Acrocephalus concinens,1,Shanghai,2006,2006,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Acrocephalus dumetorum,1,Sichuan,2017,2017,FALSE,FALSE,not_modelled_at_all
Acrocephalus orientalis,1,Tibet,2024,2024,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Iduna caligata,1,Zhejiang,2022,2022,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
