class_km,I,expected,sd,p.value,n_pairs,model
50,,,,,0,M4_province
100,1.35313664590744e-05,-7.80518264127381e-05,0.0033872892608419,0.978429975101193,166212,M4_province
250,0.000205235159864393,-7.80518264127381e-05,0.00207417893608024,0.891364452520245,441162,M4_province
500,-6.64300245351978e-05,-7.80518264127381e-05,0.000441894223230732,0.97901808414112,13480856,M4_province
